Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
510031,5,595104,31536000,335.82,,,,,,
552988,5,595104,31536000,7852.34,,,,,,
595104,5,459381,31536000,283.51,,,,,,
595104,5,466907,31536000,355.54,,,,,,
595104,5,473173,31536000,1027.17,,,,,,
595104,5,503701,31536000,1047.08,,,,,,
595104,5,520660,31536000,2276.33,,,,,,
595104,5,523927,31536000,302.7,,,,,,
595104,5,527449,31536000,158.92,,,,,,
595104,5,536346,31536000,1118.22,,,,,,
595104,5,575030,31536000,4503.15,,,,,,
595104,5,577992,31536000,3795.36,,,,,,
595104,5,589943,31536000,1109.69,,,,,,
595104,5,595298,31536000,341.29,,,,,,
595104,5,595581,31536000,326.15,,,,,,
595104,5,616315,31536000,126.09,,,,,,
595104,5,620120,31536000,1164.69,,,,,,
595104,5,632961,31536000,90.38,,,,,,
595104,5,640784,31536000,69.35,,,,,,
595104,5,642329,31536000,81.95,,,,,,
595104,5,644226,31536000,161.64,,,,,,
595104,0,570284,4127705,1.0,,,,,,
595104,0,570284,4449397,1.0,,,,,,
595104,0,570284,5279726,1.0,,,,,,
595104,0,570284,5336740,1.0,,,,,,
595104,0,570284,5392604,1.0,,,,,,
595104,0,570284,6594692,1.0,,,,,,
595104,0,570284,7252593,1.0,,,,,,
595104,0,570284,7259565,1.0,,,,,,
595104,0,570284,9685612,1.0,,,,,,
595104,0,570284,11506866,1.0,,,,,,
595104,0,570284,13026288,1.0,,,,,,
595104,0,570284,13547439,1.0,,,,,,
595104,0,570284,14806543,1.0,,,,,,
595104,0,570284,9565347,1.0,,,,,,
595104,0,570284,9626868,1.0,,,,,,
595104,0,570284,16058535,1.0,,,,,,
595104,0,570284,18317010,1.0,,,,,,
595104,0,570284,18787629,1.0,,,,,,
595104,0,570284,19520139,1.0,,,,,,
595104,0,570284,21026318,1.0,,,,,,
595104,0,570284,21443821,1.0,,,,,,
595104,0,570284,22233404,1.0,,,,,,
570284,0,595104,9666747,1.0,,,,,,
570284,0,595104,11329016,1.0,,,,,,
570284,0,595104,12082533,1.0,,,,,,
570284,0,595104,13090404,1.0,,,,,,
570284,0,595104,8522533,1.0,,,,,,
570284,0,595104,9313716,1.0,,,,,,
570284,0,595104,9538665,1.0,,,,,,
570284,0,595104,9944401,1.0,,,,,,
570284,0,595104,15949466,1.0,,,,,,
570284,0,595104,18095802,1.0,,,,,,
570284,0,595104,20340044,1.0,,,,,,
570284,0,595104,21543709,1.0,,,,,,
570284,0,595104,23305463,1.0,,,,,,
570284,0,595104,24137183,1.0,,,,,,
570284,0,595104,24625930,1.0,,,,,,
595104,2,482264,10728949,298.0,,,,,,
595104,2,482264,12833338,109.0,,,,,,
595104,2,482264,12984768,116.0,,,,,,
595104,2,482264,14838769,319.0,,,,,,
