Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
563211,4,564798,-732727926,0.0188679,,,,,,
563211,4,627390,-496596726,0.2,,,,,,
563211,4,561114,-277745526,0.25,,,,,,
541017,4,601492,-64423926,0.142857,,,,,,
572413,1,629627,1296000,1,4,4,-2.24962,-165.651,-1.16067,-162.983
572413,1,505965,1302571,1,4,4,-2.24962,-165.651,-3.88606,-166.186
505965,0,629627,1308663,1,,,,,,
572413,1,505965,1316274,1,4,4,-2.24962,-165.651,-3.88606,-166.186
629627,1,515794,1316615,1,4,4,-1.16067,-162.983,6.71518,-165.251
505965,0,515794,1325061,1,,,,,,
572413,1,629627,1336641,1,4,4,-2.24962,-165.651,-1.16067,-162.983
572413,1,515794,1355121,1,4,4,-2.24962,-165.651,6.71518,-165.251
515794,1,505965,1360796,1,4,4,6.71518,-165.251,-3.88606,-166.186
515794,1,505965,1368519,1,4,4,6.71518,-165.251,-3.88606,-166.186
572413,1,505965,1368710,1,4,4,-2.24962,-165.651,-3.88606,-166.186
505965,0,515794,1372640,1,,,,,,
572413,1,515794,1380370,1,4,4,-2.24962,-165.651,6.71518,-165.251
505965,0,515794,1431512,1,,,,,,
629627,1,515794,1466354,1,4,4,-1.16067,-162.983,6.71518,-165.251
572413,1,505965,1475513,1,4,4,-2.24962,-165.651,-3.88606,-166.186
515794,1,505965,1477390,1,4,4,6.71518,-165.251,-3.88606,-166.186
572413,1,629627,1503450,1,4,4,-2.24962,-165.651,-1.16067,-162.983
515794,1,629627,1518265,1,4,4,6.71518,-165.251,-1.16067,-162.983
515794,1,505965,1532336,1,4,4,6.71518,-165.251,-3.88606,-166.186
505965,0,629627,1538449,1,,,,,,
515794,0,629627,1578355,1,,,,,,
515794,0,505965,1589475,1,,,,,,
515794,1,629627,1609697,1,4,4,6.71518,-165.251,-1.16067,-162.983
515794,0,505965,1630374,1,,,,,,
515794,0,629627,1637146,1,,,,,,
515794,0,629627,1651736,1,,,,,,
572413,1,515794,1669897,1,4,4,-2.24962,-165.651,6.71518,-165.251
515794,0,629627,1679456,1,,,,,,
572413,1,505965,1692111,1,4,4,-2.24962,-165.651,-3.88606,-166.186
505965,0,515794,1692798,1,,,,,,
572413,1,629627,1695281,1,4,4,-2.24962,-165.651,-1.16067,-162.983
505965,0,515794,1720161,1,,,,,,
572413,1,515794,1732391,1,4,4,-2.24962,-165.651,6.71518,-165.251
515794,0,505965,1732586,1,,,,,,
515794,1,629627,1733739,1,4,4,6.71518,-165.251,-1.16067,-162.983
572413,1,505965,1736351,1,4,4,-2.24962,-165.651,-3.88606,-166.186
505965,0,629627,1758690,1,,,,,,
629627,1,505965,1779937,1,4,4,-1.16067,-162.983,-3.88606,-166.186
515794,0,505965,1791802,1,,,,,,
505965,0,629627,1797636,1,,,,,,
629627,1,515794,1804143,1,4,4,-1.16067,-162.983,6.71518,-165.251
515794,1,629627,1810012,1,4,4,6.71518,-165.251,-1.16067,-162.983
505965,0,629627,1817071,1,,,,,,
572413,1,629627,1821154,1,4,4,-2.24962,-165.651,-1.16067,-162.983
