Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
0,4,-99,-99,-99,,,,,,
41,0,34,86400,1,,,,,,
37,0,27,94461,1,,,,,,
34,1,27,107548,1,5,5,,,,
41,0,37,127838,1,,,,,,
34,1,37,137358,1,5,5,,,,
27,0,41,137514,1,,,,,,
27,0,41,146000,1,,,,,,
41,1,37,149161,1,5,5,,,,
37,0,34,158428,1,,,,,,
41,0,34,169247,1,,,,,,
27,1,37,177201,1,5,5,,,,
37,1,41,183172,1,5,5,,,,
41,0,27,216582,1,,,,,,
34,1,41,218423,1,5,5,,,,
41,1,27,230069,1,5,5,,,,
41,1,37,233022,1,5,5,,,,
34,1,41,236079,1,5,5,,,,
41,1,37,239793,1,5,5,,,,
37,1,27,265109,1,5,5,,,,
37,0,41,268112,1,,,,,,
37,0,34,272059,1,,,,,,
34,1,27,276813,1,5,5,,,,
34,1,27,288578,1,5,5,,,,
41,1,37,293985,1,5,5,,,,
34,1,37,318223,1,5,5,,,,
34,1,41,345461,1,5,5,,,,
37,1,34,346631,1,5,5,,,,
34,1,37,350177,1,5,5,,,,
41,1,27,362034,1,5,5,,,,
40,0,0,368628,1,,,,,,
41,1,34,374986,1,5,5,,,,
37,0,34,395798,1,,,,,,
37,0,34,399788,1,,,,,,
37,0,41,401565,1,,,,,,
37,0,27,411242,1,,,,,,
34,0,37,412501,1,,,,,,
37,1,27,417194,1,5,5,,,,
34,1,37,431903,1,5,5,,,,
34,1,37,459754,1,5,5,,,,
37,0,41,476347,1,,,,,,
41,0,39,494408,1,,,,,,
34,0,27,509489,1,,,,,,
34,1,27,533633,1,5,5,,,,
41,0,37,540456,1,,,,,,
37,0,41,552924,1,,,,,,
34,1,27,558469,1,5,5,,,,
37,0,34,573446,1,,,,,,
65,1,39,575922,1,5,5,,,,
27,1,41,576871,1,5,5,,,,
41,1,34,585647,1,5,5,,,,
41,0,34,588261,1,,,,,,
27,1,34,589534,1,5,5,,,,
41,1,34,600413,1,5,5,,,,
41,1,34,609669,1,5,5,,,,
41,0,34,611246,1,,,,,,
37,0,27,614378,1,,,,,,
41,0,34,631688,1,,,,,,
34,1,27,637600,1,5,5,,,,
41,1,37,642322,1,5,5,,,,
37,0,34,647884,1,,,,,,
27,1,37,665052,1,5,5,,,,
41,1,0,700042,1,5,5,,,,
65,1,41,1539767,1,5,5,,,,
65,0,41,1815123,1,,,,,,
65,0,39,2025218,1,,,,,,
65,0,41,2219841,1,,,,,,
40,0,39,2274508,1,,,,,,
40,1,39,2299346,1,5,5,,,,
65,0,41,2531012,1,,,,,,
40,0,41,2606356,1,,,,,,
40,0,0,2728873,1,,,,,,
41,0,39,2811368,1,,,,,,
41,0,39,2916910,1,,,,,,
67,0,39,2918105,1,,,,,,
47,0,39,2950842,1,,,,,,
39,0,66,2988949,1,,,,,,
67,0,47,3046943,1,,,,,,
41,1,0,3056926,1,5,5,,,,
41,0,65,3194279,1,,,,,,
67,0,39,3239797,1,,,,,,
40,0,39,3253335,1,,,,,,
67,0,47,3274683,1,,,,,,
65,1,0,3305014,1,5,5,,,,
41,1,40,3329197,1,5,5,,,,
40,1,65,3411168,1,5,5,,,,
65,1,0,3498622,1,5,5,,,,
41,1,65,3516325,1,5,5,,,,
41,1,39,3600085,1,5,5,,,,
41,0,0,3659034,1,,,,,,
39,0,47,3759876,1,,,,,,
67,0,47,3961182,1,,,,,,
40,0,39,4053111,1,,,,,,
67,0,39,4070126,1,,,,,,
47,0,39,4070519,1,,,,,,
39,0,66,4090886,1,,,,,,
47,0,39,4095752,1,,,,,,
67,0,39,4127140,1,,,,,,
41,1,0,4131639,1,5,5,,,,
40,1,0,4154217,1,5,5,,,,
67,0,39,4183004,1,,,,,,
40,1,41,4270052,1,5,5,,,,
41,1,40,4277208,1,5,5,,,,
41,1,39,4277404,1,5,5,,,,
47,0,39,4382315,1,,,,,,
40,1,65,4484132,1,5,5,,,,
65,1,40,4496982,1,5,5,,,,
41,1,65,4551749,1,5,5,,,,
39,0,47,4586298,1,,,,,,
39,0,66,4621522,1,,,,,,
41,1,65,4782814,1,5,5,,,,
40,0,39,4886159,1,,,,,,
40,1,65,4957547,1,5,5,,,,
41,0,39,4976943,1,,,,,,
65,1,0,4987301,1,5,5,,,,
47,0,39,5007419,1,,,,,,
65,0,0,5031586,1,,,,,,
47,0,39,5196460,1,,,,,,
39,0,66,5310512,1,,,,,,
67,0,39,5385092,1,,,,,,
39,0,66,5509228,1,,,,,,
39,0,47,5539314,1,,,,,,
41,1,65,5686004,1,5,5,,,,
41,0,39,5691175,1,,,,,,
41,0,39,5742139,1,,,,,,
65,1,40,5766198,1,5,5,,,,
40,0,0,5775248,1,,,,,,
65,1,41,5830690,1,5,5,,,,
41,1,39,5971021,1,5,5,,,,
39,0,40,6040991,1,,,,,,
67,0,39,6042993,1,,,,,,
67,0,39,6049965,1,,,,,,
40,1,41,6105265,1,5,5,,,,
41,0,65,6165002,1,,,,,,
47,0,39,6317557,1,,,,,,
65,1,40,6482840,1,5,5,,,,
40,1,0,6786345,1,5,5,,,,
41,1,65,6855138,1,5,5,,,,
47,0,39,7171539,1,,,,,,
39,0,67,7312933,1,,,,,,
41,0,40,7402620,1,,,,,,
65,1,0,7414374,1,5,5,,,,
40,1,39,7533645,1,5,5,,,,
39,0,47,7781464,1,,,,,,
40,0,65,7808457,1,,,,,,
47,0,39,7819876,1,,,,,,
41,0,65,7943328,1,,,,,,
40,0,65,8044475,1,,,,,,
39,0,67,8104116,1,,,,,,
40,1,0,8119939,1,5,5,,,,
47,0,67,8133038,1,,,,,,
41,0,0,8185766,1,,,,,,
39,0,67,8329065,1,,,,,,
39,0,47,8343434,1,,,,,,
67,0,39,8355747,1,,,,,,
41,0,65,8362608,1,,,,,,
39,0,47,8368424,1,,,,,,
67,0,39,8417268,1,,,,,,
39,0,67,8457147,1,,,,,,
67,0,39,8476012,1,,,,,,
41,0,65,8517950,1,,,,,,
39,0,67,8734801,1,,,,,,
40,1,39,8900010,1,5,5,,,,
65,1,40,8903126,1,5,5,,,,
47,0,39,8904333,1,,,,,,
47,0,67,9000765,1,,,,,,
47,0,39,9011916,1,,,,,,
41,0,0,9046447,1,,,,,,
39,0,47,9067046,1,,,,,,
40,0,41,9105534,1,,,,,,
65,1,39,9304539,1,5,5,,,,
39,0,47,9383841,1,,,,,,
40,0,0,9393786,1,,,,,,
67,2,657187,9519349,300,,,,,,
39,3,657187,9519349,300,,,,,,
47,0,39,9719464,1,,,,,,
47,0,67,9726589,1,,,,,,
39,0,47,9736761,1,,,,,,
39,0,67,10119416,1,,,,,,
47,0,39,10213514,1,,,,,,
67,0,39,10297266,1,,,,,,
47,0,67,10330246,1,,,,,,
39,0,67,10872933,1,,,,,,
47,0,67,11077036,1,,,,,,
47,0,39,11199155,1,,,,,,
67,2,657187,11623738,100,,,,,,
39,3,657187,11623738,100,,,,,,
78,6,81,11773606,2,3,1,,,,
67,2,657187,11775168,100,,,,,,
39,3,657187,11775168,100,,,,,,
67,0,39,11816688,1,,,,,,
39,0,67,11880804,1,,,,,,
80,6,70,12292006,1,4,3,,,,
80,6,81,12292006,3,3,1,,,,
27,1,34,12319485,1,5,5,,,,
43,1,37,12329138,1,3,5,,,,
47,0,39,12334140,1,,,,,,
67,0,39,12337839,1,,,,,,
34,1,37,12339486,1,5,5,,,,
27,1,41,12343663,1,5,5,,,,
27,1,56,12346487,1,5,0,,,,
27,1,56,12358432,1,5,0,,,,
41,1,34,12375838,1,5,5,,,,
41,1,43,12376404,1,5,3,,,,
57,0,27,12384573,1,,,,,,
43,1,27,12391413,1,3,5,,,,
58,0,37,12417098,1,,,,,,
63,1,27,12430499,1,4,5,,,,
41,1,57,12446577,1,5,0,,,,
27,1,34,12458588,1,5,5,,,,
77,6,70,12464806,1,4,3,,,,
56,1,43,12466742,1,0,3,,,,
63,0,34,12467201,1,,,,,,
37,0,56,12467442,1,,,,,,
58,0,43,12471153,1,,,,,,
56,0,47,12477797,1,,,,,,
63,1,37,12483241,1,4,5,,,,
37,0,58,12488631,1,,,,,,
56,1,37,12492175,1,0,5,,,,
56,1,63,12508322,1,0,4,,,,
34,1,43,12521043,1,5,3,,,,
58,1,56,12535750,1,4,0,,,,
57,0,43,12545708,1,,,,,,
41,1,34,12548499,1,5,5,,,,
47,1,27,12620617,1,3,5,,,,
79,6,81,12637606,1,3,1,,,,
56,1,34,12646634,1,0,5,,,,
37,0,45,12661428,1,,,,,,
56,1,63,12665017,1,0,4,,,,
56,1,47,12699877,1,0,3,,,,
41,0,63,12721308,1,,,,,,
56,1,34,12734459,1,0,5,,,,
27,1,47,12738227,1,5,3,,,,
41,1,47,12783297,1,5,3,,,,
41,1,57,12789587,1,5,0,,,,
27,1,47,12790263,1,5,3,,,,
41,0,45,12791955,1,,,,,,
41,1,56,12794809,1,5,0,,,,
41,0,43,12804335,1,,,,,,
37,0,43,12810402,1,,,,,,
37,0,27,12813075,1,,,,,,
56,0,58,12832501,1,,,,,,
47,1,27,12833985,1,3,5,,,,
63,0,45,12855970,1,,,,,,
63,0,56,12880849,1,,,,,,
47,1,57,12881945,1,3,0,,,,
47,1,45,12891925,1,3,3,,,,
57,0,43,12907759,1,,,,,,
34,1,63,12917489,1,5,4,,,,
41,0,45,12922810,1,,,,,,
27,1,57,12928438,1,5,0,,,,
57,0,27,12934805,1,,,,,,
58,0,27,12957842,1,,,,,,
